#   a      e        i       node      peri     Manom      resamp      q        r        M      m_rand H_rand color Comment
#
  48.168  0.370    0.057    187.3      79.2     357.7      8.4    30.332   31.068  349.537   22.936   7.94  0.75 res
  48.650  0.370    0.057    273.2     199.0     328.7      8.5    30.635   35.391  331.743   24.357   8.84  0.00 res
  48.385  0.370    0.057    302.9       9.2     329.9      1.7    30.468   38.663  320.686   23.568   7.67  0.53 res
  48.784  0.370    0.057      6.7     218.6      16.8      6.4    30.720   31.238    8.697   22.930   7.93  0.66 res
  48.601  0.370    0.057     39.6      41.6     344.8      3.0    30.604   31.590  347.854   23.992   8.96  0.00 res
  48.036  0.370    0.057     64.1     229.2     339.0      3.6    30.249   35.565  329.649   23.749   8.19  0.36 res
  48.258  0.370    0.057    188.9     232.1     359.5      6.7    30.389   30.960  350.774   22.932   8.01  0.97 res
  48.520  0.370    0.057     55.2      42.7      76.0      5.6    30.553   50.797   76.244   23.226   6.11  0.00 res
  48.464  0.370    0.057    117.0     181.0     334.9      6.1    30.518   37.122  325.645   23.264   7.52  0.87 res
  48.552  0.370    0.057      5.8      75.0     343.4      6.9    30.574   31.791  346.454   23.902   8.88  0.00 res
  48.067  0.370    0.057     76.0      26.8     338.1      6.8    30.268   35.701  329.260   23.562   8.01  0.36 res
  48.209  0.370    0.057     50.7     107.5      47.7      4.5    30.357   38.236   38.438   23.469   7.62  0.67 res
  48.276  0.370    0.057    101.6      39.5       5.0      5.5    30.399   30.487   -3.517   23.401   8.54  0.41 res
  48.190  0.370    0.057     27.0     155.2     346.5      7.5    30.346   33.364  338.005   23.190   7.94  0.58 res
  47.958  0.370    0.057     90.6     346.7     345.9      4.5    30.199   31.000  349.005   24.542   9.61  0.00 res
  48.766  0.370    0.057    195.0     273.4     331.0      5.1    30.708   34.813  334.051   23.401   7.95  0.00 res
  47.957  0.370    0.057    225.3     214.3     343.9      6.3    30.199   31.307  347.009   23.274   8.32  0.00 res
  48.261  0.370    0.057    249.4     309.0     337.8      5.3    30.390   35.836  329.307   22.616   7.06  1.01 res
  48.683  0.370    0.057    147.4      86.7       7.3      6.3    30.656   30.682   -1.866   23.845   8.92  0.79 res
  48.159  0.370    0.057     81.6     237.6      48.7      5.4    30.326   42.629   51.774   24.238   7.91  0.00 res
  48.263  0.370    0.057    187.1     193.4      18.7      4.9    30.392   31.055    9.952   23.644   8.74  0.67 res
  48.102  0.370    0.057    178.6     269.0     341.7      4.4    30.290   31.793  344.808   22.501   7.45  0.00 res
